replies,retweets,favorites,text,day,time
0,2,0,الحمد لله على سلامتك وماقصرت بس عندي سؤال  متفقين ان   في الويك اند وماقصرتوا ترسلون لنا رساله بخصوصها بس هلحين وهالوقت وبكره مدارس ودوامات وش مناسبتها  ارحمونا ترويع تايم مقرر علينا كل يوم    ,14/12/2019,19:45
0,1,1,    بعد منتصف الليل وصوت الموسيقى الصادر من البوليفارد طاغي على اجواء المنزل ايعقل ذلك من حقنا الهدوء اعتزلنا في الجو الجميل الخروج الى حديقه المنزل بسبب ذلك وحتى داخل البيت والنوافذ مغلقه ازعاج,12/06/2019,23:12
0,0,0,يا حلو شوارع الرياض و هي فاضيه  ,12/06/2019,15:48
0,0,0,الله يلعن ابو هالازعاج    ,12/05/2019,18:20
0,1,2,  لماذا هذا الاهمال بلغوا من يضع الحواجز في الطريق مساء كل يوم ان يزيلها بعداغلاق   عن وسط الطريق لانها تعيق حركت السيارات في الصباح عند الذهاب الى المدارس او العمل خصوصا شارع السليمانيه المتجه غربا الى طريق تركي الاول      ,12/04/2019,19:36
0,0,2,نفس معانات   حطين البنات باخر الدنيا عقارب وافاعي وكلاب مكان لافيه اكل ولايطلبو من برا ممنوع يدخل الاكل بالله عليهم وحده تداوم من قريه لجامعه ينبع من الساعه ٦الصبح الي ٣ العصر وماتطلب لها اكل ولاشي اتقوا الله  ,12/01/2019,21:42
1,0,1,اذا فيه شخص يفتي لنا سكان حي حطين مع كل فعاليه تتعطل مصالحنا   ,29/11/2019,14:26
0,0,0,    والله مايصير 3 شهور علي هذا الوضع ,22/11/2019,19:02
2,6,4,  ماشاء الله تبارك الله الساعه الاحد ١ فجرا ومايكل جاكسون يردح في البوليفراد ياهووووووه الله يرحم والولديكم شويه ذوق واحترام لاهل الحي فيه مدارس فيه عمل,20/11/2019,22:11
0,0,0,صوره مع التحيه اقبلنا على عام دراسي كامل من تحديث الشكوى المستمره مع معاناه لسنوات مضت ولازلنا نطالب بلديه الحجره بتهيئه المواقف للمدرسه والصوره تتحدث كلي امل من رئيس البلديه المكلف النظر في معاناه مدرسه حطين مع تغير احوال الطقس ,19/11/2019,13:01
0,0,1,الى متى يوقفون الناس عند بيتنا   ,15/11/2019,20:26
0,0,0,تكفى حط تذاكر البوليفارد بالف وحول لسكان حطين نصها بدل معاناه    ,14/11/2019,22:23
1,0,0,لي متى وانا بيتي كل خميس يردح درح    وين كبارالحي والمحامين ما يشتكون على هالازعاج الوضع لا يطاق,14/11/2019,19:05
2,2,1,الله ينهي هالفتره على خير عن جد الوضع بالنسبه لنا سكان الحي لا يطاق  بالامس ازداد الامر سوء بتعب ولدي وحاجتنا للهدوء   ,11/08/2019,09:55
0,0,0,اي نيه واي بليه نظرك لمتبرجه متزينه وقيامك لها وسلامك عليها ومس يدك يدها وتقبيل راسها ذنب ومعصيه وشر متمحض ومتراكب ظلمات فوق بعض من وين توجهها عوجا عيب والله عيب لعلها بوادر وباكر استجابه لدعوه مظلوم   سرت في جوف الليل,11/08/2019,09:43
0,1,0,انت ياخالد تشوفه ابداع ونحن سكان   نشوفه ازعاج  ,11/07/2019,23:16
0,0,0,الى متى   من بعد العصر الطرق مغلقه وفي الصباح الحواجز في الطرقات مهمله وخطر ع مستخدمي الطريق,11/07/2019,23:06
0,0,1,  العاب ناريه والياسمين حفريات وبدون حفريات والعاب ناريه زحححححمه يالله لاتبلانا,11/07/2019,22:25
0,0,1,  الله لا يسامح من سمح بهذي الفعاليه يشغلون العاب ناريه هالوقت يلا اول مره بالبدايه قلتوا مادرينا ماكان مسموح وبنحاسب المتسبب نشوف رده الفعل الحين,11/07/2019,21:39
1,0,0,الياسمين وصلهم الصوت روعتونا  مين اللي مشغله مفروض يتحاسب  ,11/07/2019,21:39
1,1,2,  العاب ناريه بنص الليل خوش توقيت ,11/07/2019,21:37
1,0,6,     2019   هل يعقل العاب ناريه بعد منتصف الليل مافكرتوا بالبيوت القريبه وصدى الصوت فيهاايش وضع الاطفال وكبار السن معها الساعه ٩ استمتعنا وقلنا مايخالف بس في وقت متاخر ١١ و١٢ ونصوقت النوم وين الذوق العام,11/07/2019,21:33
0,4,5,العاب ناريه ذا الوقت ١٢٣٠ الليل ورجعت حليمه لعادتها القديمه  ايش الاستخفاف في احوال اهل الحي كبار سن واطفال نايمين ويصحون من صوت الالعاب الناريه حددتو الساعه ٩ م كل خميس هذا يكفي مايحتاج تروعونا بااوقات ثانيه خافو الله    ,11/07/2019,21:33
0,1,0,الحي محاصر للاسف مع كل الجهات طيب على الاقل عربات الاكل والله قلبت شارع محمد بن سعد لمزبله الناس تاكل و تشرب و ترمي هذا حي سكني و فيه المرضى و الكبار و الصغار و الموظفين وش ذنبهم من الازعاج الى الصباح  ,11/07/2019,21:25
0,2,1,  بسبب الزحمه فتره وبتعدي ان شالله الكلام الليله مع صوت الاغاني لاتستغرب اذا دخلت المطبخ الليله   الوضع بيكون ,11/05/2019,10:49
4,1,1,  انا البارح حوالي الساعه ٢٣٠ فجرا اسمع اصوات الموسيقى ياناس هو صحيح ولا يتهيا لي يمكن كنت احلم,11/05/2019,10:17
0,0,0,المرور للاسف لاتجده الا وقت اغلاق الشوارع والطرقات مثل ماهو حاصل في      ,11/04/2019,10:23
0,0,0,  من المفترض نقل المهرجانات خارج المنطقه السكانيه كما هو معمول به في دول العالم عانينا الزحام بسبب المهرجان واغلاق الطرق بسبب المرور من يخفف معاناتنا وهل ينظر في الامر في القادم اتمنا  2019  ,11/01/2019,16:30
0,0,0, ء      ,29/10/2019,03:28
0,0,0,  اينكم من معاناتهم والمجاورين وسالكي الطريق الدائري والخير وتركي الاول من الرياض بارك وبوليفارد الثغر وعربات البيع في تركي الاول والخير اينكم عن اغلاق ط تركي الاول وقلبه لميدان عروض وسباق واحتفال وترفيه,28/10/2019,20:43
1,0,0,وماذا فعلتم ل  ,28/10/2019,20:29
0,1,2, ء_تركي_ال_الشيخ_مطلب_الشعب      ,28/10/2019,20:25
0,0,0,اكيد فيه حل لـ  ,28/10/2019,19:15
0,0,0,يا ابا مساعد الله يحفظك هل تزكيتك ونظرك لامراه متبرجه يرضي الرب جل في علاه  الم تعلم ان اقامتك امسيتك الشعريه في وسط الاحياء السكنيه قد ضايق سكان هذه الاحياء وشاركت في   والمجاورين لهم وهم بالآلاف وفيهم الكبير والصغير والمريض وعند الله تلقي الخصوم وترد المظالم,26/10/2019,16:05
0,1,0,  حسبنا الله ونعم الوكيل حسبنا الله وكفى ازعجتوا خلق الله بمعاصي الله ليل نهار اشكال والوان حتى بيوت الله والناس في بيوتها ومحل راحتها وسكنها لم يسلموا من اذاكم وازعاجكم خافوا الله في المساكين والمسلمين,26/10/2019,15:31
0,0,0,سيء  ,26/10/2019,04:27
0,0,1,شاهد هشتاق   وتعرف الجواب و يكفي,25/10/2019,21:20
0,6,1,انتقلت العدوي ل   الله يعين وين ماتروح زحمه   ,25/10/2019,14:27
0,0,0,  ازعاج مدوي   نريد حلا يا   هل يعقل ان نعني داخل منازلنا وعند الخروج منها وعند العوده لها ,24/10/2019,21:58
0,1,1,  اصوات الالعاب الناريه يزعج سكان   حتى الاطفال داخل المنازل مذعوره منها,24/10/2019,20:03
11,2,11,ترفيه هذا ولا ابتلاء   ,24/10/2019,18:41
0,2,3,  يا اهل الحي نوموا زين اليوم وقيلوا ورانا اليوم سهره مع الزحام والاصوات العاليه ,24/10/2019,09:31
0,1,1,البارح ترجيت المرور يدخلني حارتنا هل يقبل عاقل مثل هالوضع   ,24/10/2019,04:18
3,0,0,الآن بيتي يهتززززز من بروفاتكم حسبي الله ونعم الوكيل الله لا يسلط علينا  ,24/10/2019,00:52
0,1,2,  جاهزين وراح يكون هناك اصوات الالعاب الناريه اللي موقها قريب جدا جدا من   و  ,23/10/2019,17:20
2,0,1,جاهزين البكره السهر الصباح مع الازعاج  ,23/10/2019,16:42
1,1,4,  نتمنى من رجال الامن من دوريات و مرور الكرام بعد الانتهاء من المهمه في اغلاق الطرقات داخل   بالحواجز يتم ازالتها بعد مغادره الموقع لانهم يتركونها حاجز عائق للمرورالسيارات بعد انسحابهم من الموقع في الصباح الباكر من اليوم الثاني  ,23/10/2019,11:16
4,1,1,  هل من مجيب ,23/10/2019,07:43
0,0,0,بارك الله فيك الاخ خالد يا ليت ترى هذا الهاشتاق لانه يتحدث عن هذه المشكله وتغريدتك مهمه             مع التحيه للجميع,22/10/2019,22:42
0,1,0,  من   لكثره السيارات والزحمه داخل الحي لابد من اقفال الحي نهايه الاسبوع اشد زحمه تحيه للمرور          ,22/10/2019,22:29
0,0,0,شكرا سليمان الحبيب لا ننسى   من   لكثره السيارات والزحمه داخل الحي لابد من اقفال الحي نهايه الاسبوع اشد زحمه,22/10/2019,22:27
0,0,0,  من  ,22/10/2019,22:25
0,0,0,  من   ارجو عدم تجاهل رغبات الحي فمن حقه ان يستمتع بالهدوء,22/10/2019,22:25
0,0,0, ,22/10/2019,22:24
0,0,0,  من   لابد من حل يا معالي المستشار,22/10/2019,22:23
0,0,0,  من  ,22/10/2019,22:18
0,0,0,  من   منزعجين لكثره السيارات هل من حل      ,22/10/2019,22:17
0,0,0,  من   منزعجين لكثره السيارات زحمه داخل الحي,22/10/2019,22:17
0,0,0,  لابد من حل السيارات الان مصطفه امام البيت لابد من حل للتعامل مع الالاف السيارات,22/10/2019,22:16
0,0,0,  هل احد سمعنا,22/10/2019,22:15
0,1,2,  من   بسبب ١ مواقف الزوار في حي حطين وبخاصه القريب من بوليفارد الرياض ٢ الزحمه داخل الحي لكثره السيارات ماذا نفعل ١ اقفال حي حطين بالكامل ودخوله يكون بالبطاقات الكثير راغب بالفكره ٢ جعل هناك باصات منالى الجامعه لنقل الزوار  ,22/10/2019,22:15
0,1,1,  لابد من عمل حاجه يا معالي المستشار المرور لابد يقفل حي حطين بالكامل ويجعل هناك بطاقات للدخول عن طريق كلنا امن ويستفيد من اكثر من نصف موقف بجامعه الملك سعود مع التحيه للشرطه          ,22/10/2019,22:10
0,0,0, ,22/10/2019,22:08
0,0,0,  هل من مستجيب,22/10/2019,22:08
0,0,0,  سنكتب كل يوم حتى تحل هذه المشكله ارجو من الجميع المشاركه فهي قضيه جماعيه وليست فريده,22/10/2019,22:07
0,0,0,  من  ,22/10/2019,22:07
0,0,0,  من وجود   ازعاج لكثره الشيارات المتوقفه لابد وضع مواقف خاصه للزوار ومنعهم من دخول الحي         لابد من عمل حاجه اليوم ابني يقول ان الزوار يقولون كان الله في عونكم الزوار احسوا بالمعاناه فهل تحسون بها,22/10/2019,22:06
0,2,0,اتمنى تطبيق هالمقترح لحل مشكله    ,22/10/2019,15:57
1,3,0,هذه بعض الامثله على   اثناء الاحتفالات في   httpstwittercomarabnewsstatus1186437106660306945,22/10/2019,13:51
5,13,6,حساب عرب نيوز ينقل   عبر تغريده لهم كتبوا فيها الاحتفالات في   تزعج سكان        ,22/10/2019,13:42
1,0,0,انتي شكلك ماتدري عن شي ادخل هنا بختصار كل شي   لا 999 ولا شي يمشي معهم,22/10/2019,04:20
1,0,0,شاركت في   فعاليه الترفيه فرضت عليهم والمحاورين لهم والطرق الموصله لها وضايقوهم في بيوتهم وراحتهم اهالي الحي يدعون ويتحسبون على من ضرهم وشارك وعاون وساعد في اذيتهم دعوه المظلوم ليس بينها وبين الله حجاب يقسم الله جل في علاه على نصرها ولو بعد حين,22/10/2019,02:56
0,2,0,٤يفضل وضع سياج شبيه بالسياج الموضوع حول الفعاليه كي يتوجه الزوار الى المواقف الكبيره الموفره للزوار شمال الفعاليه ٥ضروري يتدخل المرور بشكل حازم لتنظيم الحركه شبيه بالتنظيم لمهرجان الجنادريه  ,21/10/2019,23:18
1,1,0,٣تقسيم شارع السويد بن حارث مع امتداده بدايه من طريق الامير محمد بن سلمان الى تقاطع مع شارع السليمانيه الى قسمين قسم غربي يكون كمخرج من فعاليه البوليفارد الى طريق الامير محمد بن سلمان ومغلق بالكامل وقسم شرقي ويكون مدخل ومخرج لسكان الحي وغير نافذ للفعاليه   ,21/10/2019,23:18
1,1,0,٢ تقسيم شارع السليمانيه من مدخل الامير محمد بن سعد الى قسمين القسم الشمالي يكون مدخل لفعاليه البوليفارد فقط مع اغلاق هالقسم بالكامل والقسم الجنوبي يكون مدخل ومخرج لحي حطين فقط وغير نافذ للفعاليه   ,21/10/2019,23:18
1,2,0,مقترحات لحل مشكله   ١اغلاق الشارع الواقع بين مكان فعاليه البوليفارد مع مواقف الفعاليه وقصرها للعاملين في الفعاليه والباصات التردديه طبعا مع التنسيق مع المرور والاغلاق الى ان ينتهي موسم الرياض ,21/10/2019,23:18
0,0,0, ,21/10/2019,19:50
0,0,0,  من   هل من حل,21/10/2019,19:50
0,0,0,  من  ,21/10/2019,19:50
0,0,0, ,21/10/2019,19:49
0,0,0,            لابد من حل لا يمكن الاستمرار شهرين هكذا,21/10/2019,19:49
0,0,0,       ,21/10/2019,19:49
0,0,0,الوناسه لما تكون عدم الاعتداء بازعاج الغير   لابد من حل هل ممكن الاستماع الى اهل الحي,21/10/2019,19:48
0,0,0,  من   لابد اغلاق حي حطين بالكامل ووضع بطاقات لكامل الحي,21/10/2019,19:46
0,0,0,  من   لابد من حل هذه المشكله,21/10/2019,19:46
0,0,0,بارك الله فيه الامير سلطان بن سلمان لكن لا ننسى        ,21/10/2019,19:45
0,0,0,اهلا وسهلا فيكم لا ننسى  ,21/10/2019,19:45
0,0,0,          هل من احد يسمع شكاوي هذا الحي,21/10/2019,19:44
0,0,0,        حي حطين يعاني فلا يعاني زياده تعال يا استاذ تركي والق نظره غدا ونهايه الاسبوع,21/10/2019,19:43
0,0,0,  من فرج عن مسلم كربه فرج الله عنه كربه من كرب يوم القيامه,21/10/2019,19:42
0,0,0,             ,21/10/2019,19:41
0,0,0,       ,21/10/2019,19:41
0,0,0, ,21/10/2019,19:40
0,0,0,  من   تعبت وانا اكتب اسال الله ان تكون اصواتنا مسموعه,21/10/2019,19:40
2,4,1,  من    اهلا بالسياح والزوار لكن بدون ازعاج وتخريب   وكذلك بدون ازعاج اهل الحي لابد من الاستفاده من مواقف جامعه الملك سعود ففيها اكثر من نضف مليون موقف    ,21/10/2019,19:36
0,0,0,استاذ تركي ربما ٢ مليون متوقفين خلال الاربعه الايام في     ايش ذنبهم الا يوجد تعويضات كيف تتعاملوا مع الوضع غدا وبعد غدا لابد من اغلاق الحي بالكامل بالشرطه بمثل ما يغلقون الدوار      ,21/10/2019,19:33
0,0,0,  من  ,21/10/2019,19:28
0,0,0,  بسبب   المقام في   جدا ازعاج ازعاج بالآلاف السيارات المتوقفه للحي ازعاج للاصوات لكن اهم شيء ابعدوا السيارات عن الحي تماما,21/10/2019,19:27
0,0,0,  من   هل من حل لهذه المشكله يعني فيه تحسينات ل   لكن لا توجد تحسينات للتعامل مع الوضع,21/10/2019,19:25
0,0,0,  من  ,21/10/2019,19:24
0,0,0,نحن ننتظر قرارات منك يا استاذ تركي بمنع كل سياره تدخل حي حطين واغلاقه بالكامل   ووضع بطاقات لاهل الحي بالدخول راحتهم اهم من استمتاعهم,21/10/2019,19:23
0,0,0,راحه الناس قبل استمتاعهم اليس كذلك فكيف الحل مع حي حطين  ,21/10/2019,19:21
0,0,0,  من  ,21/10/2019,19:20
0,0,0, ,21/10/2019,19:19
0,0,0,  ايش ذنب هذا الحي من كثره السيارات والزحمات داخل الحي انظر للهاشتاق لتعرف جزء من المعاناه لا الوم من يمرض ولا يشعر احد قدر المه الا من يعاني عطلنا بعض الاعمال لزحمه الشوارع,21/10/2019,19:18
0,0,0,  هل من حل لهذه المشكله,21/10/2019,19:14
1,0,1,استاذ تركي هناك سوق سوداء لاستغلال   الا ترى ان هناك ضيوف لفعاليه   يوقفون امام بيتنا والشارع المطل مباشره من بيتنا متوقف فالمرور ينظم الشوارع العامه فليش لا يوجد مرور بالحي او اغلاقه بالكامل  ,21/10/2019,19:11
0,0,0,  لابد من الاطلاع لهذا الهاشتاق بارك الله فيك استاذ تركي عليك بالتعامل مع الوضع وذلك باغلاق حي حطين بالكامل وتكون فتحه او فتحتين ويكون الدخول ببطاقات لسكان الحي فايش ذنب حي راقي بوجود زحمه فيه فكانه  ء,21/10/2019,19:01
1,1,0,نحن نعاني بشده في حي حطين الا يوجد تعويضات عن هذا الازعاج الا توجد طريقه لجعل هناك مواقف في جامعه الملك سعود ثم اخذهم بالباص ل   هل توجد طريقه لاغلاق حي حطين بالكامل ليكون فقط لسكان الحي      ,21/10/2019,17:11
1,0,1,    يالله فرصتكم يااهل حطين والعقيق خلصو مشاويركم اليوم وتقضو مقاضي ثلاث شهور ,21/10/2019,12:18
0,0,0,واللي يوقف عند بيوت الناس  ولا هذا ما يهم  حسبي الله ونعم الوكيل  ,21/10/2019,11:28
0,0,0,  لكن فيه العاب ناريه في اوقات متاخره من اليل وصوتها المزعج واغلاق بعض الشوارع واجبار سكن الحي ع طرق بعيده,21/10/2019,10:35
0,0,0, وين اللي يقولون سماعات المساجد مزعجه و مرعبه و تفزع الاطفال والمرضى  ليش ما نسمع لهم كلمه عن اصوات الاغاني العاليه و الالعاب الناريه بآخر الليل حسبنا الله ونعم الوكيل  ,21/10/2019,08:09
1,2,0,نتمنى يكون فيه حل بكرا لحي حطين      ,21/10/2019,06:05
0,0,0,  معالي المستشار لعلك تتفهم   فنقترح ان تخصص لسكان الحي شرقي   لواصق ستيكرات على سياراتهم تصريح دخول الحي ولايدخل الحي الا السياره المصرحه لاسيما في ايام الخميس والجمعه وفقكم الله لكل خير,21/10/2019,04:49
0,3,0,الحل ل   تظلم ببرقيه عاجله لمقام الملك وولي عهده تظلم عاجل للامارهوالداخليه وهيئات حقوق الانسان ومكافحه الفسادوالرقابهوالتحقيق والترفيه ووزاره الشؤون البلديه تقديم دعوى لديوان المظالم ضد الترفيه والبلديات بازالهالموقع ومنعهم من ايه فعاليه في الحي وط تركي والخير,21/10/2019,03:50
1,0,0,طيب ليش ماخليتوا موسمكم بعيد شوي عن الاحياء السكنيه يعني مب معقول ننام على اصوات ازعاجكم روحوا احياء زي بنبان والا اي مكان بعيد عن السكان  ,21/10/2019,01:02
1,1,0,دخلت البيت بمفاجاه اليوم اهلي والجيران كلهم حاطين قدام بابهم اشياء تمنع الوقوف داخلين جمهور البوليفارد على حارتنا موقفين قدام بيتنا ماوفرتوا لهم مواقف جيبوا مرور عند حوارينا وطلعوهم فجاه حسيت البيت في الملك فهد مب في حطين من قوه الزحمه  ,21/10/2019,01:01
0,0,2,اتمنى من المسؤولين والقائمين على   اغلاق الاغاني اوقات الصلوات ٢٠ دقيقه على الاقل  من المؤسف جدا المؤذن يؤذن وتقام الصلاه والاغاني في الجهه المقابله ,20/10/2019,22:01
0,3,0,  واحد اليوم مستاء انهم يسمعون الردح في بيوتهم في الملقا فكيف بسكان حطين الترفيه بطريقه ايذاء الجيران,20/10/2019,21:06
0,0,0,الله يعينكم على هالبلوى  ,20/10/2019,20:19
0,0,1,لا تتكرر   على سكان   ازعاج العاب ناريه في وقت متاخر وموسيقى وزحمه سيارت وتعطيل مصالح وغثى,20/10/2019,19:32
0,0,0,  هانت  كلها شهرين وتخلص معاناتكم  الله يكون بعونكم ,20/10/2019,18:51
