,replies,retweets,favorites,text,day,time,tokens,normalized,tokenized,predictions,username
11,1,4,0,نايمين في أمان الله وفجأه الساعه ١٢ الليل العاب ناريه  قمت مرتاعه احسبه انفجار حسبي الله ونعم الوكيل مستمره الى ٢ الفجر ليه ماارسلتو رسائل للناس      ,01/01/2020,05:25,"['نايمين', 'أمان', 'الله', 'وفجأه', 'الساعه', '١٢', 'الليل', 'العاب', 'ناريه', 'قمت', 'مرتاعه', 'احسبه', 'انفجار', 'حسبي', 'الله', 'ونعم', 'الوكيل', 'مستمره', 'الى', '٢', 'الفجر', 'ليه', 'ماارسلتو', 'رسائل', 'للناس']", نايمين امان اله وفجاه الساعه ١٢ اليل العاب ناريه قمت مرتاعه احسبه انفجار حسبي اله ونعم الوكيل مستمره الي ٢ الفجر ليه مارسلتو رسائل لناس,"['نايمين', 'امان', 'اله', 'وفجاه', 'الساعه', '١٢', 'اليل', 'العاب', 'ناريه', 'قمت', 'مرتاعه', 'احسبه', 'انفجار', 'حسبي', 'اله', 'ونعم', 'الوكيل', 'مستمره', 'الي', '٢', 'الفجر', 'ليه', 'مارسلتو', 'رسائل', 'لناس']",negative,sh3olas
12,0,1,0,هنا التعليق  ,31/12/2019,23:32,['التعليق'], التعليق,['التعليق'],neutral,angeldeams_o
13,0,3,2,      من أعطاكم الحق في ترويع أطفالنا ونساءنا وشيوخنا قايمين من النوم الساعة ١٤٠ ص على اصوات حرب وانفجارات في   بدون انذار مسبق حتى الموضوع كأنه أذية متعمدة للسكان   ,31/12/2019,22:58,"['أعطاكم', 'الحق', 'ترويع', 'أطفالنا', 'ونساءنا', 'وشيوخنا', 'قايمين', 'النوم', 'الساعة', '١٤٠', 'ص', 'اصوات', 'حرب', 'وانفجارات', 'بدون', 'انذار', 'مسبق', 'الموضوع', 'كأنه', 'أذية', 'متعمدة', 'للسكان']", اعطاكم الحق ترويع اطفالنا ونساءنا وشيوخنا قايمين النوم الساعه ١٤٠ ص اصوات حرب وانفجارات بدون انذار مسبق الموضوع كانه اذيه متعمده لسكان,"['اعطاكم', 'الحق', 'ترويع', 'اطفالنا', 'ونساءنا', 'وشيوخنا', 'قايمين', 'النوم', 'الساعه', '١٤٠', 'ص', 'اصوات', 'حرب', 'وانفجارات', 'بدون', 'انذار', 'مسبق', 'الموضوع', 'كانه', 'اذيه', 'متعمده', 'لسكان']",negative,abdfm2
14,1,5,1,  حسبي الله ونعم الوكيل الاطفاال وكبار السن وش ذنبهم يصحون على الالعاب اصوات رعب  ,31/12/2019,22:56,"['حسبي', 'الله', 'ونعم', 'الوكيل', 'الاطفاال', 'وكبار', 'السن', 'وش', 'ذنبهم', 'يصحون', 'الالعاب', 'اصوات', 'رعب']", حسبي اله ونعم الوكيل الاطفال وكبار السن وش ذنبهم يصحون الالعاب اصوات رعب,"['حسبي', 'اله', 'ونعم', 'الوكيل', 'الاطفال', 'وكبار', 'السن', 'وش', 'ذنبهم', 'يصحون', 'الالعاب', 'اصوات', 'رعب']",negative,AL_SwaiileM
15,0,1,1,ورجعوا يشغلون الألعاب النارية في الليل ووقت متأخر   ,31/12/2019,22:52,"['ورجعوا', 'يشغلون', 'الألعاب', 'النارية', 'الليل', 'ووقت', 'متأخر']", ورجعوا يشغلون الالعاب الناريه اليل وقت متاخر,"['ورجعوا', 'يشغلون', 'الالعاب', 'الناريه', 'اليل', 'وقت', 'متاخر']",neutral,Reem94s
16,3,7,2,  طبيعي هالاصوات تسمعها داخل حي سكني هالوقت بدون سابق أنذار ونقوم من الروعه ,31/12/2019,22:48,"['طبيعي', 'هالاصوات', 'تسمعها', 'داخل', 'حي', 'سكني', 'هالوقت', 'بدون', 'سابق', 'أنذار', 'ونقوم', 'الروعه']", طبيعي هالاصوات تسمعها داخل حي سكني هالوقت بدون سابق انذار ونقوم الروعه,"['طبيعي', 'هالاصوات', 'تسمعها', 'داخل', 'حي', 'سكني', 'هالوقت', 'بدون', 'سابق', 'انذار', 'ونقوم', 'الروعه']",neutral,maha_sh3
17,0,0,0,استغفرالله  ,31/12/2019,22:47,['استغفرالله'], استغفراله,['استغفراله'],positive,Reem94s
18,2,0,0,  حسبنا الله ونعم والوكيل,31/12/2019,22:47,"['حسبنا', 'الله', 'ونعم', 'والوكيل']", حسبنا اله ونعم والوكيل,"['حسبنا', 'اله', 'ونعم', 'والوكيل']",negative,alohi20000
19,0,0,0,جاري التفعيل   ,31/12/2019,22:47,"['جاري', 'التفعيل']", جاري التفعيل,"['جاري', 'التفعيل']",neutral,Elaf_f
20,0,0,1,العاب ناريه الساعه ٢ بالليل عجزت لا انام  ,31/12/2019,22:42,"['العاب', 'ناريه', 'الساعه', '٢', 'بالليل', 'عجزت', 'انام']", العاب ناريه الساعه ٢ باليل عجزت انام,"['العاب', 'ناريه', 'الساعه', '٢', 'باليل', 'عجزت', 'انام']",neutral,alanazieid
21,1,1,1,  للان مفجوعة وما قدرت انام س١ من الانفجاربدون سبق انذار ليش التنديد بمن اعلن الاحتفال في حريملاحسبي الله وكفى ما اسوأ من حديث النعمة الا حديث الحرية والموضة والتقليد الاعمى هذا تسفيه وليس ترفيه  الله لا يسلط علينا اصوات قنابل الحرب بدل قنابل الافساد,31/12/2019,21:57,"['للان', 'مفجوعة', 'قدرت', 'انام', 'س١', 'الانفجاربدون', 'سبق', 'انذار', 'ليش', 'التنديد', 'اعلن', 'الاحتفال', 'حريملاحسبي', 'الله', 'وكفى', 'اسوأ', 'حديث', 'النعمة', 'الا', 'حديث', 'الحرية', 'والموضة', 'والتقليد', 'الاعمى', 'تسفيه', 'وليس', 'ترفيه', 'الله', 'يسلط', 'علينا', 'اصوات', 'قنابل', 'الحرب', 'بدل', 'قنابل', 'الافساد']", لان مفجوعه قدرت انام س١ الانفجاربدون سبق انذار ليش التنديد اعلن الاحتفال حريملاحسبي اله وكفي اسوا حديث النعمه الا حديث الحريه والموضه والتقليد الاعمي تسفيه وليس ترفيه اله يسلط علينا اصوات قنابل الحرب بدل قنابل الافساد,"['لان', 'مفجوعه', 'قدرت', 'انام', 'س١', 'الانفجاربدون', 'سبق', 'انذار', 'ليش', 'التنديد', 'اعلن', 'الاحتفال', 'حريملاحسبي', 'اله', 'وكفي', 'اسوا', 'حديث', 'النعمه', 'الا', 'حديث', 'الحريه', 'والموضه', 'والتقليد', 'الاعمي', 'تسفيه', 'وليس', 'ترفيه', 'اله', 'يسلط', 'علينا', 'اصوات', 'قنابل', 'الحرب', 'بدل', 'قنابل', 'الافساد']",negative,shooosh1402
22,1,3,7,للاسف معاناة حي حطين ما زلت مستمره بالزحمه والألعاب ناريه بأوقات متأخره دون إعلان مسبق ومع عدم مراعاة  ١ حي سكني  ٢ وجود كبار سن  ٣ وجود مرضى  ٤  يوم دوام  اتمنى تنظرون لموضوع الاحتفالات من زاوية اخرى     2020  ,31/12/2019,21:36,"['للاسف', 'معاناة', 'حي', 'حطين', 'زلت', 'مستمره', 'بالزحمه', 'والألعاب', 'ناريه', 'بأوقات', 'متأخره', 'إعلان', 'مسبق', 'ومع', 'عدم', 'مراعاة', '١', 'حي', 'سكني', '٢', 'وجود', 'كبار', 'سن', '٣', 'وجود', 'مرضى', '٤', 'يوم', 'دوام', 'اتمنى', 'تنظرون', 'لموضوع', 'الاحتفالات', 'زاوية', 'اخرى', '2020']", لاسف معاناه حي حطين زلت مستمره بالزحمه والالعاب ناريه باوقات متاخره اعلان مسبق ومع عدم مراعاه ١ حي سكني ٢ وجود كبار سن ٣ وجود مرضي ٤ يوم دوام اتمني تنظرون لموضوع الاحتفالات زاويه اخري 2020,"['لاسف', 'معاناه', 'حي', 'حطين', 'زلت', 'مستمره', 'بالزحمه', 'والالعاب', 'ناريه', 'باوقات', 'متاخره', 'اعلان', 'مسبق', 'ومع', 'عدم', 'مراعاه', '١', 'حي', 'سكني', '٢', 'وجود', 'كبار', 'سن', '٣', 'وجود', 'مرضي', '٤', 'يوم', 'دوام', 'اتمني', 'تنظرون', 'لموضوع', 'الاحتفالات', 'زاويه', 'اخري', '2020']",negative,hkh6
23,0,2,0,  الله يكون في عونكم حسبنا الله ونعم الوكيل,31/12/2019,21:30,"['الله', 'يكون', 'عونكم', 'حسبنا', 'الله', 'ونعم', 'الوكيل']", اله يكون عونكم حسبنا اله ونعم الوكيل,"['اله', 'يكون', 'عونكم', 'حسبنا', 'اله', 'ونعم', 'الوكيل']",negative,hsos00
24,0,2,0,قلة ادب ومافي اي احترام للسكان ومسئولين فاشلين مسوين الفعاليات وألعاب نارية وسط حي سكني ناهـيك عن الناس الي جايين من كل مكان ع الحي    ,31/12/2019,21:12,"['قلة', 'ادب', 'ومافي', 'اي', 'احترام', 'للسكان', 'ومسئولين', 'فاشلين', 'مسوين', 'الفعاليات', 'وألعاب', 'نارية', 'وسط', 'حي', 'سكني', 'ناهـيك', 'الناس', 'الي', 'جايين', 'مكان', 'ع', 'الحي']", قله ادب ومافي اي احترام لسكان ومسئولين فاشلين مسوين الفعاليات والعاب ناريه وسط حي سكني ناهيك الناس الي جاين مكان ع الحي,"['قله', 'ادب', 'ومافي', 'اي', 'احترام', 'لسكان', 'ومسئولين', 'فاشلين', 'مسوين', 'الفعاليات', 'والعاب', 'ناريه', 'وسط', 'حي', 'سكني', 'ناهيك', 'الناس', 'الي', 'جاين', 'مكان', 'ع', 'الحي']",negative,EmadMoh15
25,1,1,0,  أكثر ناس مستعدين للقصف في حال قامت حرب لا سمح الله ,31/12/2019,21:06,"['ناس', 'مستعدين', 'للقصف', 'حال', 'قامت', 'حرب', 'سمح', 'الله']", ناس مستعدين لقصف حال قامت حرب سمح اله,"['ناس', 'مستعدين', 'لقصف', 'حال', 'قامت', 'حرب', 'سمح', 'اله']",negative,Nawafi_15
26,4,2,0,  حسبنا الله ونعم الوكيل,31/12/2019,21:04,"['حسبنا', 'الله', 'ونعم', 'الوكيل']", حسبنا اله ونعم الوكيل,"['حسبنا', 'اله', 'ونعم', 'الوكيل']",negative,Aalthawad
27,1,1,1,  اللي مسؤول عن بوابات استديوات البوليفارد سكرها صوت الطرب ما خلانا ننوم  ,26/12/2019,21:45,"['اللي', 'مسؤول', 'بوابات', 'استديوات', 'البوليفارد', 'سكرها', 'صوت', 'الطرب', 'خلانا', 'ننوم']", الي مسؤول بوابات استديوات البوليفارد سكرها صوت الطرب خلانا نوم,"['الي', 'مسؤول', 'بوابات', 'استديوات', 'البوليفارد', 'سكرها', 'صوت', 'الطرب', 'خلانا', 'نوم']",positive,NAlmuqu
28,0,0,0,ألطم    ,26/12/2019,02:44,['ألطم'], الطم,['الطم'],negative,mnsd2014
29,2,1,0,  الله الله الله اليوم الحاره رجعت لوضعها الطبيعي,19/12/2019,19:11,"['الله', 'الله', 'الله', 'اليوم', 'الحاره', 'رجعت', 'لوضعها', 'الطبيعي']", اله اله اله اليوم الحاره رجعت لوضعها الطبيعي,"['اله', 'اله', 'اله', 'اليوم', 'الحاره', 'رجعت', 'لوضعها', 'الطبيعي']",positive,Bndr888_
30,1,0,0,يارب لك الحمد اليوم حي   رجع لوضعه الانساني و بيتي زي بيوت العالم ساكن و رايق   مقفل الله لا يعيدك من مشروع  ,19/12/2019,15:50,"['يارب', 'الحمد', 'اليوم', 'حي', 'رجع', 'لوضعه', 'الانساني', 'و', 'بيتي', 'زي', 'بيوت', 'العالم', 'ساكن', 'و', 'رايق', 'مقفل', 'الله', 'يعيدك', 'مشروع']", يارب الحمد اليوم حي رجع لوضعه الانساني و بيتي زي بيوت العالم ساكن و رايق مقفل اله يعيدك مشروع,"['يارب', 'الحمد', 'اليوم', 'حي', 'رجع', 'لوضعه', 'الانساني', 'و', 'بيتي', 'زي', 'بيوت', 'العالم', 'ساكن', 'و', 'رايق', 'مقفل', 'اله', 'يعيدك', 'مشروع']",positive,alohi20000
31,1,0,0,اعانكم الله واضح ان فيه معاناة حقيقية تعيشونها   ,19/12/2019,11:08,"['اعانكم', 'الله', 'واضح', 'ان', 'معاناة', 'حقيقية', 'تعيشونها']", اعانكم اله واضح ان معاناه حقيقيه تعيشونها,"['اعانكم', 'اله', 'واضح', 'ان', 'معاناه', 'حقيقيه', 'تعيشونها']",negative,Bndr888_
32,0,0,1,استفزاز هذا مو ترفيه حسبنا الله حسبنا الله ونعم الوكيل      ,18/12/2019,23:16,"['استفزاز', 'مو', 'ترفيه', 'حسبنا', 'الله', 'حسبنا', 'الله', 'ونعم', 'الوكيل']", استفزاز مو ترفيه حسبنا اله حسبنا اله ونعم الوكيل,"['استفزاز', 'مو', 'ترفيه', 'حسبنا', 'اله', 'حسبنا', 'اله', 'ونعم', 'الوكيل']",negative,Al3owifi
33,0,0,0,  عظم الله أجرنا,18/12/2019,23:10,"['عظم', 'الله', 'أجرنا']", عظم اله اجرنا,"['عظم', 'اله', 'اجرنا']",positive,Bndr888_
34,2,2,1,اغاني البوليفارد اليوم بزيادة مرفعين الصوت و الله من كثر حاجتي للنوم بدون ازعاج بكيت من القهر صدعت بشكل فضيع حسبي الله احس الحفله بالبيت من قوة الصوت  ,18/12/2019,23:04,"['اغاني', 'البوليفارد', 'اليوم', 'بزيادة', 'مرفعين', 'الصوت', 'و', 'الله', 'كثر', 'حاجتي', 'للنوم', 'بدون', 'ازعاج', 'بكيت', 'القهر', 'صدعت', 'بشكل', 'فضيع', 'حسبي', 'الله', 'احس', 'الحفله', 'بالبيت', 'قوة', 'الصوت']", اغاني البوليفارد اليوم بزياده مرفعين الصوت و اله كثر حاجتي لنوم بدون ازعاج بكيت القهر صدعت بشكل فضيع حسبي اله احس الحفله بالبيت قوه الصوت,"['اغاني', 'البوليفارد', 'اليوم', 'بزياده', 'مرفعين', 'الصوت', 'و', 'اله', 'كثر', 'حاجتي', 'لنوم', 'بدون', 'ازعاج', 'بكيت', 'القهر', 'صدعت', 'بشكل', 'فضيع', 'حسبي', 'اله', 'احس', 'الحفله', 'بالبيت', 'قوه', 'الصوت']",negative,Aalthawad
35,0,0,0,  حسبنا الله ونعم الوكيل,18/12/2019,22:56,"['حسبنا', 'الله', 'ونعم', 'الوكيل']", حسبنا اله ونعم الوكيل,"['حسبنا', 'اله', 'ونعم', 'الوكيل']",negative,2A_many22
36,0,2,0,عدلك يا رب في المسؤول عن هذا الاستهتار    حي سكني ليه انقلبت بيوت الناس ازعاج و ردح   ,18/12/2019,22:42,"['عدلك', 'رب', 'المسؤول', 'الاستهتار', 'حي', 'سكني', 'ليه', 'انقلبت', 'بيوت', 'الناس', 'ازعاج', 'و', 'ردح']", عدلك رب المسؤول الاستهتار حي سكني ليه انقلبت بيوت الناس ازعاج و ردح,"['عدلك', 'رب', 'المسؤول', 'الاستهتار', 'حي', 'سكني', 'ليه', 'انقلبت', 'بيوت', 'الناس', 'ازعاج', 'و', 'ردح']",negative,Aalthawad
37,0,1,0,حسبي الله ونعم الوكيل لا الطلاب ذاكروا ولاناموا من ازعاج اغاني حفلات الرياض  ,18/12/2019,22:40,"['حسبي', 'الله', 'ونعم', 'الوكيل', 'الطلاب', 'ذاكروا', 'ولاناموا', 'ازعاج', 'اغاني', 'حفلات', 'الرياض']", حسبي اله ونعم الوكيل الطلاب ذاكروا ولاناموا ازعاج اغاني حفلات الرياض,"['حسبي', 'اله', 'ونعم', 'الوكيل', 'الطلاب', 'ذاكروا', 'ولاناموا', 'ازعاج', 'اغاني', 'حفلات', 'الرياض']",negative,Bndr888_
38,0,0,0,انا بالدرعيه وانفقع راسي ما عرفت ارقد  كله كوم والكوم الثاني يخي ترانا وسط اسبوع والساعه بتجي ثنتين  اقلها اركدو شوي يخي  انا مدري من يرقص ذا الحزه وبها البرد  ,18/12/2019,22:37,"['انا', 'بالدرعيه', 'وانفقع', 'راسي', 'عرفت', 'ارقد', 'كله', 'كوم', 'والكوم', 'الثاني', 'يخي', 'ترانا', 'وسط', 'اسبوع', 'والساعه', 'بتجي', 'ثنتين', 'اقلها', 'اركدو', 'شوي', 'يخي', 'انا', 'مدري', 'يرقص', 'الحزه', 'وبها', 'البرد']", انا بالدرعيه وانفقع راسي عرفت ارقد كله كوم والكوم الثاني يخي ترانا وسط اسبوع والساعه بتجي ثنتين اقلها اركدو شوي يخي انا مدري يرقص الحزه وبها البرد,"['انا', 'بالدرعيه', 'وانفقع', 'راسي', 'عرفت', 'ارقد', 'كله', 'كوم', 'والكوم', 'الثاني', 'يخي', 'ترانا', 'وسط', 'اسبوع', 'والساعه', 'بتجي', 'ثنتين', 'اقلها', 'اركدو', 'شوي', 'يخي', 'انا', 'مدري', 'يرقص', 'الحزه', 'وبها', 'البرد']",negative,jaaaaa09
39,0,0,0,الساعة ١٣٠ هذا غير منطقي والكل عنده اختبارات نهائية بعد كم ساعة  ,18/12/2019,22:32,"['الساعة', '١٣٠', 'منطقي', 'والكل', 'عنده', 'اختبارات', 'نهائية', 'ساعة']", الساعه ١٣٠ منطقي والكل عنده اختبارات نهائيه ساعه,"['الساعه', '١٣٠', 'منطقي', 'والكل', 'عنده', 'اختبارات', 'نهائيه', 'ساعه']",neutral,BinSaod
40,1,6,4,نبي ننوم معليييش ازعاج يوم من الدرعية يوم من البوليفارد هذا وأنا وسط الحي اقسم بالله كانهم في غرفتي من علي الصوت القولكم مكان تسوون فيه حفلات بعيد من منطقة سكنيه  ,18/12/2019,22:31,"['نبي', 'ننوم', 'معليييش', 'ازعاج', 'يوم', 'الدرعية', 'يوم', 'البوليفارد', 'وأنا', 'وسط', 'الحي', 'اقسم', 'بالله', 'كانهم', 'غرفتي', 'علي', 'الصوت', 'القولكم', 'مكان', 'تسوون', 'حفلات', 'بعيد', 'منطقة', 'سكنيه']", نبي نوم معليش ازعاج يوم الدرعيه يوم البوليفارد وانا وسط الحي اقسم باله كانهم غرفتي علي الصوت القولكم مكان تسون حفلات بعيد منطقه سكنيه,"['نبي', 'نوم', 'معليش', 'ازعاج', 'يوم', 'الدرعيه', 'يوم', 'البوليفارد', 'وانا', 'وسط', 'الحي', 'اقسم', 'باله', 'كانهم', 'غرفتي', 'علي', 'الصوت', 'القولكم', 'مكان', 'تسون', 'حفلات', 'بعيد', 'منطقه', 'سكنيه']",negative,SarahAlbeee
